seasons,duration,title,director,rating,country
8,8 Seasons,Voltron: Legendary Defender,,TV-Y7,United States
8,8 Seasons,My Little Pony: Friendship Is Magic,,TV-Y,"United States, Canada"
8,8 Seasons,Wentworth,,TV-MA,Australia
8,8 Seasons,Girlfriends,,TV-14,United States
8,8 Seasons,Arrow,James Bamford,TV-14,United States
8,8 Seasons,The Ranch,,TV-MA,United States
8,8 Seasons,Trolls: The Beat Goes On!,,TV-Y7,United States
8,8 Seasons,Spirit: Riding Free,,TV-Y7,United States
8,8 Seasons,Under Arrest,Dan Forrer,TV-MA,United States
8,8 Seasons,The Vampire Diaries,,TV-14,United States
8,8 Seasons,Club Friday The Series 8,,TV-MA,
8,8 Seasons,Dexter,,TV-MA,United States
8,8 Seasons,Portlandia,,TV-14,United States
8,8 Seasons,Royal Pains,Jay Chandrasekhar,TV-PG,United States
8,8 Seasons,That '70s Show,,TV-14,United States
8,8 Seasons,The Andy Griffith Show,,TV-G,United States
8,8 Seasons,Weeds,,TV-MA,United States
9,9 Seasons,American Horror Story,,TV-MA,United States
9,9 Seasons,Still Game,,TV-14,United Kingdom
9,9 Seasons,Forensic Files,,TV-MA,United States
9,9 Seasons,The Great British Baking Show,Andy Devonshire,TV-14,United Kingdom
9,9 Seasons,Naruto,Hayato Date,TV-14,Japan
9,9 Seasons,Club Friday The Series 6,,TV-MA,
9,9 Seasons,The Office (U.S.),,TV-14,United States
9,9 Seasons,Call the Midwife,Philippa Lowthorpe,TV-MA,United Kingdom
9,9 Seasons,Saved by the Bell,,TV-PG,United States
10,10 Seasons,Friends,,TV-14,United States
10,10 Seasons,Stargate SG-1,,TV-MA,"United States, Canada"
10,10 Seasons,Danger Mouse: Classic Collection,,TV-Y,United Kingdom
10,10 Seasons,LEGO Ninjago: Masters of Spinjitzu,,TV-Y7,"Denmark, Singapore, Canada, United States"
10,10 Seasons,The Walking Dead,,TV-MA,United States
10,10 Seasons,Dad's Army,,TV-PG,United Kingdom
10,10 Seasons,Shameless (U.S.),,TV-MA,United States
11,11 Seasons,Frasier,,TV-PG,United States
11,11 Seasons,Cheers,,TV-PG,United States
12,12 Seasons,Trailer Park Boys,,TV-MA,Canada
12,12 Seasons,Criminal Minds,,TV-14,"United States, Canada"
13,13 Seasons,COMEDIANS of the world,,TV-MA,United States
13,13 Seasons,Red vs. Blue,,NR,United States
13,13 Seasons,Heartland,,TV-14,Canada
15,15 Seasons,Supernatural,Phil Sgriccia,TV-14,"United States, Canada"
15,15 Seasons,NCIS,,TV-14,United States
17,17 Seasons,Grey's Anatomy,,TV-14,United States
